timestamp,carbon_intensity,renewable_percentage,thermal_percentage,solar_percentage,wind_percentage,hydro_percentage,grid_demand,grid_status
19:30,656,18.9,81.1,0,10.9,8,3999,HIGH
19:45,653,19.4,80.6,0,11.3,8.1,3949,HIGH
20:00,649,19.9,80.1,0,11.7,8.2,3890,HIGH
20:15,644,20.5,79.5,0,12.1,8.4,3824,HIGH
20:30,640,21,79,0,12.5,8.5,3752,HIGH
20:45,637,21.5,78.5,0,12.9,8.6,3677,HIGH
21:00,632,22.1,77.9,0,13.3,8.8,3600,HIGH
21:15,628,22.6,77.4,0,13.7,8.9,3523,HIGH
21:30,625,23,77,0,14,9,3448,HIGH
21:45,621,23.5,76.5,0,14.4,9.1,3376,HIGH
22:00,618,24,76,0,14.8,9.2,3310,HIGH
22:15,615,24.3,75.7,0,15.1,9.2,3251,HIGH
22:30,612,24.7,75.3,0,15.4,9.3,3201,HIGH
22:45,609,25.1,74.9,0,15.7,9.4,3159,HIGH
23:00,607,25.4,74.6,0,16,9.4,3128,HIGH
23:15,604,25.8,74.2,0,16.3,9.5,3106,HIGH
23:30,602,26.1,73.9,0,16.6,9.5,3100,HIGH
23:45,600,26.3,73.7,0,16.8,9.5,3100,NORMAL
